월,유종,Dubai
20년 01월,,64.32
02월,,54.23
03월,,33.71
04월,,20.39
05월,,30.47
06월,,40.80
07월,,43.30
08월,,44.00
09월,,41.51
10월,,40.67
11월,,43.42
12월,,49.84
21년 01월,,54.82
02월,,60.89
03월,,64.44
04월,,62.92
05월,,66.34
06월,,71.60
07월,,72.93
08월,,69.50
09월,,72.63
10월,,81.61
11월,,80.30
12월,,73.21
22년 01월,,83.47
02월,,92.36
03월,,110.93
04월,,102.82
05월,,108.16
06월,,113.27
07월,,103.14
08월,,96.63
09월,,90.95
10월,,91.16
11월,,86.26
12월,,77.22
23년 01월,,80.42
02월,,82.11
03월,,78.51
04월,,83.44